year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
2014,P-93922,Honduras,3,2,midfielder,0,0,0,García,Boniek,Boniek García,29.8,1,False,False,False
2014,P-94155,Uruguay,2,0,forward,0,0,0,Hernández,Abel,Abel Hernández,23.8,0,False,False,False
2014,P-94161,Switzerland,1,0,defender,0,0,0,Senderos,Philippe,Philippe Senderos,29.3,2,False,False,False
2014,P-94202,Chile,3,3,center back,0,0,0,Silva,Francisco,Francisco Silva,28.3,0,False,False,False
2014,P-94249,Iran,3,3,left back,0,0,0,Pooladi,Mehrdad,Mehrdad Pooladi,27.3,0,False,False,False
2014,P-94434,Bosnia and Herzegovina,2,0,midfielder,0,0,0,Salihović,Sejad,Sejad Salihović,29.7,0,False,False,False
2014,P-94551,Brazil,3,3,right back,0,0,0,Maicon,not applicable,not applicable Maicon,32.9,1,False,False,False
2014,P-94570,Iran,3,3,center back,0,0,0,Sadeghi,Amir Hossein,Amir Hossein Sadeghi,32.8,1,False,False,False
2014,P-94649,England,2,2,left back,0,0,0,Baines,Leighton,Leighton Baines,29.5,0,False,False,False
2014,P-94774,Nigeria,4,4,center midfielder,0,0,0,Onazi,Ogenyi,Ogenyi Onazi,21.5,0,False,False,False
2014,P-94823,Nigeria,1,0,midfielder,0,0,0,Gabriel,Reuben,Reuben Gabriel,23.7,0,False,False,False
2014,P-94838,Colombia,5,5,goal keeper,0,0,0,Ospina,David,David Ospina,25.8,0,False,False,False
2014,P-94877,Ecuador,3,3,goal keeper,0,0,0,Domínguez,Alexander,Alexander Domínguez,27.0,0,False,False,False
2014,P-95009,United States,4,4,center back,0,0,0,Besler,Matt,Matt Besler,27.3,0,False,False,False
2014,P-95196,Uruguay,1,0,defender,0,0,0,Fucile,Jorge,Jorge Fucile,29.6,1,False,False,False
2014,P-95269,Belgium,4,4,center back,0,0,0,Kompany,Vincent,Vincent Kompany,28.2,0,False,False,False
2014,P-95273,United States,3,0,defender,0,0,0,Yedlin,DeAndre,DeAndre Yedlin,20.9,0,False,False,False
2014,P-95402,Colombia,5,5,left back,1,0,1,Armero,Pablo,Pablo Armero,27.6,0,False,False,False
2014,P-95453,Russia,3,3,goal keeper,0,0,0,Akinfeev,Igor,Igor Akinfeev,28.2,0,False,False,False
